type,variant,variant_name,dataset,sigma,accuracy,macro_f1,mean_abs_class_error,tail_recall_24,tail_recall_28,tail_recall_31,psnr_mean,ssim_mean,strred_mean
decision,A0,A0 Heuristic baseline,ALL,ALL,0.263302,0.046316,6.465203,0.000000,0.000000,0.000000,,,
decision,A1,A1 Multiclass LightGBM,ALL,ALL,0.287934,0.155262,4.981543,0.051336,0.002679,0.000000,,,
decision,A2,A2 Regression-quantization LightGBM,ALL,ALL,0.287135,0.157402,4.997332,0.056754,0.001403,0.000000,,,
decision,A3,A3 Ordinal raw,ALL,ALL,0.289343,0.188613,5.322356,0.178653,0.155397,0.064365,,,
decision,A4,A4 Ordinal + threshold tuning,ALL,ALL,0.284587,0.182804,5.350439,0.196739,0.125287,0.050276,,,
decision,A5_soft,A5_soft Software deployable mapping,ALL,ALL,0.285141,0.183535,5.333842,0.194322,0.122353,0.052210,,,
decision,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,ALL,ALL,0.285113,0.183587,5.334455,0.194455,0.123118,0.052486,,,
image,A0,A0 Heuristic baseline,DAVIS,10,,,,,,,24.709230,0.693827,
image,A1,A1 Multiclass LightGBM,DAVIS,10,,,,,,,27.358430,0.729941,
image,A2,A2 Regression-quantization LightGBM,DAVIS,10,,,,,,,27.358915,0.729949,
image,A3,A3 Ordinal raw,DAVIS,10,,,,,,,27.287002,0.727686,
image,A4,A4 Ordinal + threshold tuning,DAVIS,10,,,,,,,27.165138,0.727392,
image,A5_soft,A5_soft Software deployable mapping,DAVIS,10,,,,,,,27.167268,0.727404,
image,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,DAVIS,10,,,,,,,27.166871,0.727395,
image,A0,A0 Heuristic baseline,DAVIS,30,,,,,,,20.890427,0.386003,
image,A1,A1 Multiclass LightGBM,DAVIS,30,,,,,,,21.133224,0.389099,
image,A2,A2 Regression-quantization LightGBM,DAVIS,30,,,,,,,21.136270,0.389186,
image,A3,A3 Ordinal raw,DAVIS,30,,,,,,,21.110605,0.387967,
image,A4,A4 Ordinal + threshold tuning,DAVIS,30,,,,,,,21.153570,0.389109,
image,A5_soft,A5_soft Software deployable mapping,DAVIS,30,,,,,,,21.155518,0.389121,
image,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,DAVIS,30,,,,,,,21.155480,0.389121,
image,A0,A0 Heuristic baseline,DAVIS,50,,,,,,,17.965612,0.245126,
image,A1,A1 Multiclass LightGBM,DAVIS,50,,,,,,,17.885899,0.246782,
image,A2,A2 Regression-quantization LightGBM,DAVIS,50,,,,,,,17.888198,0.246731,
image,A3,A3 Ordinal raw,DAVIS,50,,,,,,,17.944193,0.246454,
image,A4,A4 Ordinal + threshold tuning,DAVIS,50,,,,,,,17.989081,0.246981,
image,A5_soft,A5_soft Software deployable mapping,DAVIS,50,,,,,,,17.989290,0.246978,
image,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,DAVIS,50,,,,,,,17.989600,0.246981,
image,A0,A0 Heuristic baseline,Set8,10,,,,,,,24.550873,0.707589,
image,A1,A1 Multiclass LightGBM,Set8,10,,,,,,,26.994528,0.739401,
image,A2,A2 Regression-quantization LightGBM,Set8,10,,,,,,,26.999823,0.739395,
image,A3,A3 Ordinal raw,Set8,10,,,,,,,26.891535,0.735674,
image,A4,A4 Ordinal + threshold tuning,Set8,10,,,,,,,26.788851,0.736003,
image,A5_soft,A5_soft Software deployable mapping,Set8,10,,,,,,,26.807020,0.736227,
image,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,Set8,10,,,,,,,26.806462,0.736221,
image,A0,A0 Heuristic baseline,Set8,30,,,,,,,20.818819,0.409305,
image,A1,A1 Multiclass LightGBM,Set8,30,,,,,,,21.336907,0.417520,
image,A2,A2 Regression-quantization LightGBM,Set8,30,,,,,,,21.341169,0.417897,
image,A3,A3 Ordinal raw,Set8,30,,,,,,,21.308588,0.415930,
image,A4,A4 Ordinal + threshold tuning,Set8,30,,,,,,,21.330271,0.416885,
image,A5_soft,A5_soft Software deployable mapping,Set8,30,,,,,,,21.331463,0.416587,
image,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,Set8,30,,,,,,,21.331483,0.416587,
image,A0,A0 Heuristic baseline,Set8,50,,,,,,,18.023851,0.269415,
image,A1,A1 Multiclass LightGBM,Set8,50,,,,,,,18.172136,0.275070,
image,A2,A2 Regression-quantization LightGBM,Set8,50,,,,,,,18.176717,0.275201,
image,A3,A3 Ordinal raw,Set8,50,,,,,,,18.220857,0.274675,
image,A4,A4 Ordinal + threshold tuning,Set8,50,,,,,,,18.256972,0.275206,
image,A5_soft,A5_soft Software deployable mapping,Set8,50,,,,,,,18.255963,0.275097,
image,A5_hw_eq,A5_hw_eq Exported hardware-equivalent mapping,Set8,50,,,,,,,18.256069,0.275099,
